CIE10_X,CIE10,DESCRIPCION CIE
A000,A000,COLERA DEBIDO A VIBRIO CHOLERAE 01
A001,A001,COLERA DEBIDO A VIBRIO CHOLERAE 01
A009,A009,COLERA
A010,A010,FIEBRE TIFOIDEA
A011,A011,FIEBRE PARATIFOIDEA A
A012,A012,FIEBRE PARATIFOIDEA B
A013,A013,FIEBRE PARATIFOIDEA C
A014,A014,FIEBRE PARATIFOIDEA
A020,A020,ENTERITIS DEBIDA A SALMONELLA
A021,A021,SEPSIS DEBIDA A SALMONELLA
A022,A022,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA
A028,A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA
A029,A029,INFECCION DEBIDA A SALMONELLA
A030,A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE
A031,A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI
A032,A032,SHIGELOSIS DEBIDA A SHIGELLA BOYDII
A033,A033,SHIGELOSIS DEBIDA A SHIGELLA SONNEI
A038,A038,OTRAS SHIGELOSIS
A039,A039,SHIGELOSIS DE TIPO NO ESPECIFICADO
A040,A040,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA
A041,A041,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA
A042,A042,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA
A043,A043,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA
A044,A044,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI
A045,A045,ENTERITIS DEBIDA A CAMPYLOBACTER
A046,A046,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA
A047,A047,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE
A048,A048,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS
A049,A049,INFECCION INTESTINAL BACTERIANA
A050,A050,INTOXICACION ALIMENTARIA ESTAFILOCOCICA
A051,A051,BOTULISMO
A052,A052,INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]
A053,A053,INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS
A054,A054,INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS
A058,A058,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS
A059,A059,INTOXICACION ALIMENTARIA BACTERIANA
A060,A060,DISENTERIA AMEBIANA AGUDA
A061,A061,AMEBIASIS INTESTINAL CRONICA
A062,A062,COLITIS AMEBIANA NO DISENTERICA
A063,A063,AMEBOMA INTESTINAL
A064,A064,ABSCESO AMEBIANO DEL HIGADO
A065,A065,ABSCESO AMEBIANO DEL PULMON
A066,A066,ABSCESO AMEBIANO DEL CEREBRO
A067,A067,AMEBIASIS CUTANEA
A068,A068,INFECCION AMEBIANA DE OTRAS LOCALIZACIONES
A069,A069,AMEBIASIS
A070,A070,BALANTIDIASIS
A071,A071,GIARDIASIS [LAMBLIASIS]
A072,A072,CRIPTOSPORIDIOSIS
A073,A073,ISOSPORIASIS
A078,A078,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS
A079,A079,ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS
A080,A080,ENTERITIS DEBIDA A ROTAVIRUS
A081,A081,GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK
A082,A082,ENTERITIS DEBIDA A ADENOVIRUS
A083,A083,OTRAS ENTERITIS VIRALES
A084,A084,INFECCION INTESTINAL VIRAL
A085,A085,OTRAS INFECCIONES INTESTINALES ESPECIFICADAS
A090,A090,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO
A099,A099,GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO
A09X,A09X,INFECCIONES INTESTINALES DEBIDAS A OTROS ORGANISMOS SIN ESPECIFICAR
A150,A150,TUBERCULOSIS DEL PULMON
A151,A151,TUBERCULOSIS DEL PULMON
A152,A152,TUBERCULOSIS DEL PULMON
A153,A153,TUBERCULOSIS DEL PULMON
A154,A154,TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS
A155,A155,TUBERCULOSIS DE LARINGE
A156,A156,PLEURESIA TUBERCULOSA
A157,A157,TUBERCULOSIS RESPIRATORIA PRIMARIA
A158,A158,OTRAS TUBERCULOSIS RESPIRATORIAS
